,Application/Permit Number,Address,Description,Category,Action Type,Value,Application Date,Issue Date,Final Date,Expiration Date,Status,Latitude,Longitude,Location
12990,6432554,3633 LINDEN AVE N,"Establish use as and construct a small efficiency dwelling unit apartment building, occupy per plans.",MULTIFAMILY,NEW,1398639.0,2014-11-17,2015-07-07,2016-12-12,2017-01-07,Cert of Occupancy Authorized,47.65218971,-122.34887909999999,"3633 LINDEN AVE N
(47.65218971, -122.34887909)"
13069,6402734,327 W OLYMPIC PL,Establish use as and construct 6-unit townhouse with common covered parking and occupy per plan.,MULTIFAMILY,NEW,1250000.0,2014-10-20,2015-06-19,2016-09-20,2016-12-19,Permit Closed,47.62652445,-122.36188500000002,"327 W OLYMPIC PL
(47.62652445, -122.36188496)"
13082,6406127,4754 18TH AVE NE,"Establish use as congregate residence and construct new boarding house, occupy per plan.",MULTIFAMILY,NEW,1088154.0,2014-05-06,2015-05-12,2016-11-09,2018-05-12,Cert of Occupancy Authorized,47.66462636,-122.30806489999999,"4754 18TH AVE NE
(47.66462636, -122.30806493)"
13122,6424610,1450 NE BOAT ST,"Shoring and Excavation for construction of an underground research facility structure, per plan",INSTITUTIONAL,NEW,1422699.0,2014-08-18,2015-03-26,2017-01-31,2018-03-26,Permit Closed,47.65162035,-122.3129426,"1450 NE BOAT ST
(47.65162035, -122.31294263)"
13228,6384010,1412 E MERCER ST,"Establish use as and construct 5 unit rowhouse with attached garages, per plan.10/16/2014 REVISION TO ON-SITE DRAINAGE.DWM.",MULTIFAMILY,NEW,1028060.0,2013-10-29,2014-08-21,2016-05-05,2017-08-21,Permit Finaled,47.62440845,-122.3139213,"1412 E MERCER ST
(47.62440845, -122.3139213)"
13239,6357335,820 YESLER WAY,"Construction of a residential and retail building with below grade parking, and occupy per plan.",MULTIFAMILY,NEW,16000000.0,2014-01-13,2014-05-21,2015-12-22,2017-05-21,Permit Closed,47.60189636,-122.32183429999999,"820 YESLER WAY
(47.60189636, -122.32183433)"
13557,6349605,204 PINE ST,"Construction of a residential and retail building with below and above grade parking, and occupy per plan.",COMMERCIAL,NEW,76001621.0,2013-12-18,2015-03-13,2017-10-16,2018-03-13,Permit Closed,47.61067146,-122.3395868,"204 PINE ST
(47.61067146, -122.33958684)"
13661,6347127,4537 11TH AVE NE,"Construct south multi-family residential structure and occupy, per plans. Construct 3 multi-family residential structuers (reviews and processing for 3 A/Ps under 6303152).",MULTIFAMILY,NEW,1875624.0,2012-12-24,2013-09-07,2015-07-16,2016-09-07,Permit Closed,47.66218798,-122.3168121,"4537 11TH AVE NE
(47.66218798, -122.31681206)"
13683,6411450,1537 NW 56TH ST,"Construct multi-family apartment and (4) live/work building with lower level parking garage and occupy, per plans.",COMMERCIAL,NEW,11520190.0,2014-09-04,2015-06-16,2017-05-22,2018-06-16,Permit Closed,47.6692679,-122.37805549999999,"1537 NW 56TH ST
(47.6692679, -122.37805545)"
13823,6375339,400 S JACKSON ST,Establish use as residential apartments and general sales and service. Construct a residential and retail building with below grade parking and occupy per plan.,MULTIFAMILY,NEW,16777206.0,2014-01-14,2014-09-10,2017-01-06,2017-09-10,Permit Closed,47.59941516,-122.328589,"400 S JACKSON ST
(47.59941516, -122.32858898)"
13828,6330639,1728 12TH AVE,"Establish use and construct mixed use building and occupy as boarding home and general retail use, per plan. Existing commercial building to be demolished by separate permit.",COMMERCIAL,NEW,1731201.0,2012-12-17,2013-06-18,2014-10-30,2014-12-18,Cert of Occupancy Authorized,47.61728899,-122.316704,"1728 12TH AVE
(47.61728899, -122.31670399)"
13870,6310152,151 12TH AVE,Construct mixed use building with street-level commercial use & boarding house per plans on currently vacant lot.,MULTIFAMILY,NEW,2741700.0,2013-11-21,2014-10-10,2016-08-09,2017-10-10,Permit Closed,47.60282807,-122.3171044,"151 12TH AVE
(47.60282807, -122.31710437)"
13881,6371164,900 NE 65TH ST,"Construct shoring and excavation (grading) for future residential building with underground parking, per plan.",MULTIFAMILY,NEW,1200000.0,2013-08-08,2014-03-11,2015-09-30,2015-09-11,Permit Closed,47.67607614,-122.31847379999999,"900 NE 65TH ST
(47.67607614, -122.31847383)"
13908,6226141,2701 EASTLAKE AVE E,"Construction of a 3-story commercial building with 2 levels of underground parking, occupy per plan.",COMMERCIAL,NEW,10618568.0,2009-11-20,2015-07-30,2017-04-20,2017-01-30,Permit Closed,47.64464664,-122.3261037,"2701 EASTLAKE AVE E
(47.64464664, -122.32610372)"
13958,6445064,1546 STURGUS AVE S,"Construct 5-unit row house with 4 attached garages, per plan.",MULTIFAMILY,NEW,1174386.0,2015-07-16,2015-11-30,2017-07-03,2018-11-30,Permit Closed,47.58864636,-122.3113702,"1546 STURGUS AVE S
(47.58864636, -122.31137023)"
14072,6151786,4040 26TH AVE SW,"Phase II of III for construction of a six story structure/ retail, residences, live-work, parking/ Concrete Base Structure/ build per plans.",MULTIFAMILY,NEW,4000000.0,2007-11-05,2013-08-05,2017-05-19,2015-02-05,Permit Closed,47.56709607,-122.3648987,"4040 26TH AVE SW
(47.56709607, -122.36489874)"
14119,6300726,4101 BEACON AVE S,"Construct clubhouse, driving range structure and net support poles this permit. Construct clubhouse/driving range structure, golf cart storage building. Install driving range net support poles and pave golf cart paths, all per plan (Routing for 2 A/P's with 6300726).",COMMERCIAL,NEW,3555000.0,2012-04-23,2013-06-11,2015-04-06,2016-12-11,Permit Closed,47.56724864,-122.30776759999999,"4101 BEACON AVE S
(47.56724864, -122.3077676)"
14221,6368919,3325 BURKE AVE N,"Construction of a mixed use residential and (8) live-work development in two 4-story structures over common parking garage, per plan.",MULTIFAMILY,NEW,11343559.0,2013-09-12,2015-02-04,2017-01-10,2018-02-08,Permit Closed,47.64769819,-122.3357445,"3325 BURKE AVE N
(47.64769819, -122.3357445)"
14376,6477452,744 N 34TH ST,"Shoring and Excavation for Construction of an office and retail building with below grade parking, per plan. (Review & processing for 2 AP's under 6477452).",COMMERCIAL,NEW,3550000.0,2015-06-17,2016-01-22,2017-08-08,2017-07-22,Permit Closed,47.649635499999995,-122.34841920000001,"744 N 34TH ST
(47.6496355, -122.3484192)"
14455,6306055,4123 12TH AVE NE,"Establish use and construct an apartment building and occupy, per plans.",MULTIFAMILY,NEW,5244767.0,2012-11-27,2013-08-13,2015-02-23,2016-08-13,Permit Closed,47.6575664,-122.3158551,"4123 12TH AVE NE
(47.6575664, -122.31585506)"
14541,6170569,1139 NW MARKET ST,"Phase II of II construct mixed-use building, foundation to architectural completion and occupy per plan. There are 12 live-works.",COMMERCIAL,NEW,15849508.0,2008-05-13,2013-11-13,2013-11-15,2015-05-13,Permit Closed,47.66838544,-122.37200690000002,"1139 NW MARKET ST
(47.66838544, -122.37200692)"
14803,6362241,2248 NW 64TH ST,"Construct mixed use live/work (3 units) and apartment building with basement garage and occupy, per plans.",MULTIFAMILY,NEW,3340052.0,2013-10-03,2014-04-01,2016-05-18,2017-04-01,Permit Closed,47.67549945,-122.3869655,"2248 NW 64TH ST
(47.67549945, -122.38696548)"
14809,6380059,501 FAIRVIEW AVE N,"Construction of a high-rise office building with retail and below grade parking and occupy, per plan.",COMMERCIAL,NEW,68456803.0,2014-03-20,2014-12-31,2017-03-27,2017-12-30,Permit Closed,47.62334132,-122.33458519999999,"501 FAIRVIEW AVE N
(47.62334132, -122.33458524)"
15202,6450358,462 N 35TH ST,"Establish use as light manufacturing, construct new commercial building and occupy per plan.",COMMERCIAL,NEW,1003319.0,2015-10-23,2016-07-26,2017-07-24,2018-01-26,Permit Closed,47.65108945,-122.3519223,"462 N 35TH ST
(47.65108945, -122.35192234)"
15211,6422105,1240 N MIDVALE PL,"Construct mixed use building, per plan.",MULTIFAMILY,NEW,2034789.0,2015-05-04,2015-11-25,2017-01-20,2017-05-25,Permit Closed,47.66168854,-122.343299,"1240 N MIDVALE PL
(47.66168854, -122.34329899)"
15217,6356725,5949 CALIFORNIA AVE SW,"Establish use as apartments, construct boarding home and occupy per plan.",MULTIFAMILY,NEW,1217468.0,2013-04-29,2013-10-29,2015-08-31,2016-10-29,Permit Closed,47.54894465,-122.3875175,"5949 CALIFORNIA AVE SW
(47.54894465, -122.38751753)"
15542,6366843,4435 35TH AVE SW,"Shoring and excavation and concrete stairs, for construction of a mixed-use residential building with below-grade parking under separate permit, per MUP 3009518 and per plans. Review & processing for 2 AP's under AP # 6366843.",COMMERCIAL,NEW,1800000.0,2013-08-15,2014-05-27,2016-08-12,2017-05-27,Permit Closed,47.56349829,-122.3764051,"4435 35TH AVE SW
(47.56349829, -122.37640506)"
15655,6191419,4435 35TH AVE SW,"Construction of a residential (151 dwelling units) and live work (8 LW units) building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,2025448.0,2013-09-25,2014-08-04,2016-09-26,2017-08-04,Permit Closed,47.56349829,-122.3764051,"4435 35TH AVE SW
(47.56349829, -122.37640506)"
15699,6334523,2820 EASTLAKE AVE E,"Construct boarding house and occupy, per plans.",MULTIFAMILY,NEW,3895315.0,2013-12-03,2014-09-18,2016-06-14,2017-09-18,Permit Closed,47.64614289,-122.32499109999999,"2820 EASTLAKE AVE E
(47.64614289, -122.32499107)"
15749,6339006,133 14TH AVE E,"Establish use as and construct new multifamily structure with residential and 4 live/work units, underground attached parking garage per MUP 3012729 and occupy per plans.",MULTIFAMILY,NEW,4575346.0,2012-11-13,2013-05-15,2014-09-05,2014-11-15,Permit Closed,47.61975799,-122.31468400000001,"133 14TH AVE E
(47.61975799, -122.31468401)"
15767,6378214,80 S MAIN ST,"Establish use as 3-live/work and apartments and construct residential building with parking garage, occupy per plan.",MULTIFAMILY,NEW,4618550.0,2014-01-30,2014-09-29,2016-05-25,2017-09-26,Permit Closed,47.60024388,-122.3350917,"80 S MAIN ST
(47.60024388, -122.33509165)"
15902,6303152,4557 11TH AVE NE,"Construct center multi-family residential structure and below-grade parking garage and occupy, per plans. Construct 3 multi-family residential structures (reviews and processing for 3 A/Ps under 6303152).",MULTIFAMILY,NEW,13933837.0,2012-12-24,2013-09-07,2015-07-16,2016-09-07,Permit Closed,47.66249799,-122.3167672,"4557 11TH AVE NE
(47.66249799, -122.31676717)"
16045,6331518,442 S MAIN ST,"Establish use as residential apartments and child care center and construct new mixed use building, occupy per plan.",MULTIFAMILY,NEW,11597587.0,2013-10-09,2014-04-11,2016-06-28,2017-04-11,Permit Closed,47.60009582,-122.32841599999999,"442 S MAIN ST
(47.60009582, -122.32841604)"
16258,6526216,3501 RAINIER AVE S,"Construct a new apartment building with 1st & 2nd floor offices and accessory detached garage, occupy per plan.",MULTIFAMILY,NEW,6585178.0,2016-04-14,2016-11-10,2018-02-28,2018-05-10,Permit Closed,47.57161504,-122.2934777,"3501 RAINIER AVE S
(47.57161504, -122.29347773)"
16730,6366650,301 E PINE ST,"Shoring and excavation for future construction of a mixed use structure with below grade parking, per plans.",COMMERCIAL,NEW,1500000.0,2013-06-06,2014-05-21,2015-12-10,2015-11-21,Permit Closed,47.61507396,-122.32759340000001,"301 E PINE ST
(47.61507396, -122.32759339)"
17117,6350629,501 E PIKE ST,"Establish use as multi-family residential, general retail and office. Construct mixed-use building and occupy, per plans.",COMMERCIAL,NEW,15147171.0,2014-01-13,2014-12-03,2016-10-12,2017-12-03,Permit Closed,47.61387582,-122.3252557,"501 E PIKE ST
(47.61387582, -122.32525567)"
17180,6398645,410 12TH AVE E,"Establish use as townhouses and construct multi-family structure with below grade parking, and occupy per plan.",MULTIFAMILY,NEW,1060000.0,2014-07-09,2015-01-06,2016-06-01,2016-07-06,Permit Closed,47.62233781,-122.31654350000001,"410 12TH AVE E
(47.62233781, -122.31654352)"
17280,6365081,1920 8TH AVE S,"Phased project: Construction of southwest commercial building (1920 8th Ave S) for auto dealerships and services with accessory parking and occupy, per plan (Construction of four commercial buildings for auto dealerships and services with accessory parking and occupy, per plan - see also 6365079 and 6365080 and 6361128).",COMMERCIAL,NEW,10222562.0,2013-07-02,2013-10-02,2015-06-11,2016-10-02,Permit Closed,47.58538659,-122.3231348,"1920 8TH AVE S
(47.58538659, -122.32313483)"
17364,6366004,3801 STONE WAY N,Shoring and excavation only for mixed use building/per plan,COMMERCIAL,NEW,3000000.0,2013-08-26,2014-05-17,2016-07-29,2017-05-17,Permit Closed,47.65310607,-122.34318020000002,"3801 STONE WAY N
(47.65310607, -122.34318015)"
17449,6352823,4745 40TH AVE SW,"Phased project:  Construction of a residential and retail building with below grade parking, and occupy, per plan.  Includes 16 live work spaces.",MULTIFAMILY,NEW,19380313.0,2013-12-12,2014-05-14,2015-12-01,2017-05-14,Permit Closed,47.55977042,-122.3832189,"4745 40TH AVE SW
(47.55977042, -122.38321887)"
17477,6429047,11530 12TH AVE NE,"Construct new Hazel Wolf K-8 school at Pinehurst, occupy per plan.",INSTITUTIONAL,NEW,17748284.0,2014-08-21,2015-03-30,2016-10-12,2016-09-30,Permit Closed,47.71343606,-122.314673,"11530 12TH AVE NE
(47.71343606, -122.31467296)"
17954,6337353,120 HARVARD AVE E,"Construct 38 unit apartment building and occupy, per plans.",MULTIFAMILY,NEW,6167115.0,2013-01-14,2013-07-15,2014-10-10,2015-01-15,Cert of Occupancy Authorized,47.61933063,-122.3218517,"120 HARVARD AVE E
(47.61933063, -122.32185166)"
18122,6356077,2203 E UNION ST,"Shoring and excavation for construction of a residential and retail building with below grade parking, per plan",COMMERCIAL,NEW,1150500.0,2013-04-25,2014-02-16,2016-02-23,2017-02-16,Permit Closed,47.61273006,-122.3028953,"2203 E UNION ST
(47.61273006, -122.30289527)"
18398,6345955,5528 15TH AVE NE,"Establish use as multi-family residential apartment structure. Construct boarding house and occupy, per plans.",MULTIFAMILY,NEW,1447765.0,2013-06-25,2014-03-13,2015-06-12,2015-09-13,Cert of Occupancy Authorized,47.66930636,-122.3115983,"5528 15TH AVE NE
(47.66930636, -122.31159826)"
18549,6336323,3220 CALIFORNIA AVE SW,"Construct multi-use residential apartment building, 2-live work with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,19589263.0,2014-07-10,2015-01-22,2016-09-26,2018-02-22,Permit Closed,47.57489783,-122.3864325,"3220 CALIFORNIA AVE SW
(47.57489783, -122.38643252)"
18581,6314548,2025 TERRY AVE,"Change use of parking lot for Cornish College of the Arts to mixed use residential & construct hi-rise principally student housing and occupy, per plans & SDOT plan.",COMMERCIAL,NEW,25123512.0,2013-10-22,2014-03-04,2015-08-26,2015-09-04,Permit Closed,47.61754059,-122.33621940000002,"2025 TERRY AVE
(47.61754059, -122.33621936)"
18615,6398637,1321 SENECA ST,"Construct a residential and (1) live-work building with below grade parking, and occupy per plan.",MULTIFAMILY,NEW,42070592.0,2014-04-03,2015-01-21,2016-10-12,2018-01-21,Permit Closed,47.61181606,-122.3231999,"1321 SENECA ST
(47.61181606, -122.32319986)"
18657,6359891,1425 N NORTHGATE WAY,Establish use as rowhouses and Construct 5-townhouses with attached garages/per plan.,MULTIFAMILY,NEW,1003573.0,2013-05-20,2013-10-05,2014-08-13,2015-04-05,Permit Closed,47.70488348,-122.3395486,"1425 N NORTHGATE WAY
(47.70488348, -122.33954857)"
18753,6314549,4724 CALIFORNIA AVE SW,"Phased project: Construction of a residential and retail building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,13750828.0,2013-01-31,2013-08-15,2015-06-02,2016-08-15,Permit Closed,47.56013448,-122.3864298,"4724 CALIFORNIA AVE SW
(47.56013448, -122.38642978)"
18836,6337899,101 NW 85TH ST,Establish use as apartments and retail and construct new mixed use building and occupy per plan.,COMMERCIAL,NEW,17650659.0,2013-12-18,2014-11-14,2016-09-08,2017-01-14,Permit Closed,47.69034191,-122.3584354,"101 NW 85TH ST
(47.69034191, -122.35843535)"
19106,6428629,3206 HARVARD AVE E,"Establish multifamily residential use and construct building with 5-live/work and apartments, occupy per plans.",MULTIFAMILY,NEW,3862249.0,2014-09-22,2015-06-08,2017-03-29,2018-06-08,Permit Closed,47.65026619,-122.32191399999999,"3206 HARVARD AVE E
(47.65026619, -122.32191399)"
19391,6378510,204 PINE ST,"Shoring and excavation for future construction of a residential and retail building with below and above grade parking, per plan.",MULTIFAMILY,NEW,3500000.0,2013-08-21,2014-10-03,2017-05-24,2017-10-03,Permit Closed,47.61067146,-122.3395868,"204 PINE ST
(47.61067146, -122.33958684)"
19465,6374351,600 E PIKE ST,"Shoring and excavation for future construction of a residential and retail building with below grade parking, per plan.",MULTIFAMILY,NEW,1920000.0,2013-09-04,2014-04-17,2015-10-07,2017-04-17,Permit Closed,47.61445461,-122.3241936,"600 E PIKE ST
(47.61445461, -122.32419357)"
19473,6367473,4750 ROOSEVELT WAY NE,"Establish use as retail and residential. Construct mixed use building with below-grade parking garage, and occupy per plans.",MULTIFAMILY,NEW,8093190.0,2013-07-29,2014-05-30,2017-05-30,2017-05-30,Permit Closed,47.66461107,-122.3171825,"4750 ROOSEVELT WAY NE
(47.66461107, -122.31718245)"
19493,6403673,4315 7TH AVE NE,"Establish use as congregate residence, construct boarding house and occupy, per plans.",MULTIFAMILY,NEW,1200156.0,2014-07-14,2015-06-10,2017-02-28,2016-12-10,Cert of Occupancy Authorized,47.659998,-122.32112430000001,"4315 7TH AVE NE
(47.659998, -122.32112429)"
19644,6407331,1506 NW 61ST ST,"Construction of an apartment building and occupy, per plan.",MULTIFAMILY,NEW,1754064.0,2015-09-08,2016-03-23,2017-09-22,2017-09-23,Permit Closed,47.67330639,-122.3766959,"1506 NW 61ST ST
(47.67330639, -122.37669591)"
19775,6470594,2356 W COMMODORE WAY,"Construct marine repair/storage and office building and occupy, per plans.",INDUSTRIAL,NEW,2274536.0,2015-08-07,2016-03-07,2017-06-13,2017-09-07,Permit Closed,47.66180836,-122.3868917,"2356 W COMMODORE WAY
(47.66180836, -122.38689171)"
19924,6367484,399 FAIRVIEW AVE N,"Construction of north office tower of office and retail building with below grade parking and occupy, per plan. The facades of the two existing structures to remain.",COMMERCIAL,NEW,74449086.0,2013-11-13,2014-11-13,2017-09-06,2017-11-13,Permit Closed,47.6217268,-122.3347899,"399 FAIRVIEW AVE N
(47.6217268, -122.33478989)"
19995,6307282,1414 10TH AVE,"Phased project: Construction of a residential and retail building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,30741554.0,2013-04-25,2013-09-13,2015-07-07,2016-09-13,Cert of Occupancy Authorized,47.61336267,-122.3190838,"1414 10TH AVE
(47.61336267, -122.31908377)"
20076,6410711,1450 NE BOAT ST,"Construction of an underground research facility structure and occupy, per plan.",INSTITUTIONAL,NEW,17191871.0,2014-11-25,2015-03-26,2017-05-15,2018-03-26,Permit Closed,47.65162035,-122.3129426,"1450 NE BOAT ST
(47.65162035, -122.31294263)"
20168,6352586,1220 E SPRING ST,"Construction of new classroom building (Stream Building) for Seattle Academy of Arts and Sciences, and occupy per plan (Construction of classroom building and connections to North and West buildings and occupy, per plan- Review and processing for 3 A/Ps under 6352586).",INSTITUTIONAL,NEW,6361904.0,2014-02-21,2014-07-03,2015-08-03,2016-01-03,Permit Closed,47.61172224,-122.3157095,"1220 E SPRING ST
(47.61172224, -122.31570947)"
20196,6436863,5003 FAUNTLEROY WAY SW,"Establish use as rowhouse and construct new 7-unit townhouse structure, per plan.",MULTIFAMILY,NEW,1228889.0,2014-11-12,2015-04-23,2016-12-14,2018-04-23,Permit Finaled,47.55728664,-122.3818713,"5003 FAUNTLEROY WAY SW
(47.55728664, -122.38187132)"
20321,6370623,422 SUMMIT AVE E,Construct Multifamily building with partial underground parking and occupy per plan,MULTIFAMILY,NEW,4446557.0,2013-09-12,2014-04-14,2015-05-08,2015-10-14,Cert of Occupancy Authorized,47.62266792,-122.32502509999999,"422 SUMMIT AVE E
(47.62266792, -122.32502507)"
20662,6369324,325 9TH AVE N,"Shoring/Excavation for construction of an office and retail building with below grade parking, per plan",COMMERCIAL,NEW,4179902.0,2013-06-27,2013-11-22,2015-04-16,2015-05-22,Permit Closed,47.62154693,-122.3401645,"325 9TH AVE N
(47.62154693, -122.34016446)"
21008,6164894,1900 1ST AVE,"Construction of a mixed use residential (apartments and hotel) and retail building with below grade parking and occupy, per plans.",COMMERCIAL,NEW,42738310.0,2013-07-12,2014-10-01,2017-04-27,2017-10-01,Permit Closed,47.61070574,-122.3413759,"1900 1ST AVE
(47.61070574, -122.34137594)"
21209,6361128,2005 AIRPORT WAY S,"Phased project: Construction of southeast commercial building (2005 Airport Way S) for auto dealerships and services with accessory parking and occupy, per plan (Construction of four commercial buildings for auto dealerships and services with accessory parking and occupy, per plan - 4 APs under 6361128).",COMMERCIAL,NEW,11081844.0,2013-07-02,2013-10-02,2015-06-11,2016-10-02,Permit Closed,47.58542454,-122.32186580000001,"2005 AIRPORT WAY S
(47.58542454, -122.32186576)"
21450,6374401,5019 ROOSEVELT WAY NE,"Establish use as multi-family residential use and commercial use. Construct mixed-use apartment, office and garage and occupy, per plans.",MULTIFAMILY,NEW,4921956.0,2014-08-15,2015-02-25,2016-07-14,2016-08-25,Permit Closed,47.66554497,-122.31787759999999,"5019 ROOSEVELT WAY NE
(47.66554497, -122.31787756)"
21452,6314268,777 THOMAS ST,"Establish use as residential apartments and retail and construct mixed use building over below grade parking, occupy per plan.",COMMERCIAL,NEW,25232064.0,2013-10-07,2014-09-09,2016-06-15,2017-09-09,Permit Closed,47.62069226,-122.34139429999999,"777 THOMAS ST
(47.62069226, -122.34139431)"
21456,6432244,2602 16TH AVE S,"Construction of West residential (day care) and retail building and occupy, per plan.",COMMERCIAL,NEW,9643078.0,2014-08-18,2015-03-18,2016-08-09,2016-09-18,Permit Closed,47.57973893,-122.31172,"2602 16TH AVE S
(47.57973893, -122.31171997)"
21462,6404207,4750 32ND AVE S,"Construct a residential apartment building (building 4), and occupy per plan.See also 6404205 and 6404206 and 6404208 and 6404209 and 6360806",MULTIFAMILY,NEW,4948813.0,2014-04-01,2014-10-16,2016-04-15,2016-04-16,Permit Closed,47.56015232,-122.29044679999998,"4750 32ND AVE S
(47.56015232, -122.29044679)"
21652,6322630,500 3RD AVE W,"Phased permit: Construction of a residential building and 5-live-work with below grade parking and occupy, per plan.",MULTIFAMILY,NEW,9291484.0,2012-10-05,2015-01-23,2015-01-23,2016-07-23,Permit Closed,47.62366955,-122.3603143,"500 3RD AVE W
(47.62366955, -122.36031425)"
21741,6471740,7520 35TH AVE SW,Construct new commercial building with surface parking and occupy per plan.,COMMERCIAL,NEW,2752419.0,2015-07-14,2016-02-29,2017-08-21,2017-08-28,Permit Closed,47.53492262,-122.3763023,"7520 35TH AVE SW
(47.53492262, -122.37630228)"
21844,6461431,6940 M L KING JR WAY S,Establish use as and construct a mixed-use commercial building (including low-income housing) and occupy per plans.,COMMERCIAL,NEW,15527000.0,2015-06-04,2015-12-07,2017-04-18,2017-06-07,Permit Closed,47.5396309,-122.2819217,"6940 M L KING JR WAY S
(47.5396309, -122.28192166)"
21861,6382268,1760 NW 56TH ST,"New construction of a 6-story mixed-use building containing; 117 residential units and (2) levels of below grade parking, per MUP 3016404 and per plans.",MULTIFAMILY,NEW,17075859.0,2013-11-19,2014-07-18,2016-02-19,2017-07-18,Permit Closed,47.66976863,-122.3815462,"1760 NW 56TH ST
(47.66976863, -122.38154619)"
21875,6285569,2720 4TH AVE,"Phased permit:  Construction of a residential and retail building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,21240528.0,2012-04-12,2013-06-05,2014-09-22,2014-12-05,Permit Closed,47.61834907,-122.34833059999998,"2720 4TH AVE
(47.61834907, -122.34833056)"
21886,6455920,744 N 34TH ST,"Construction of an office and retail building with below grade parking and occupy, per plan.",COMMERCIAL,NEW,27285007.0,2015-07-07,2016-02-18,2017-08-14,2017-08-18,Permit Closed,47.649635499999995,-122.34841920000001,"744 N 34TH ST
(47.6496355, -122.3484192)"
21887,6345829,4041 ROOSEVELT WAY NE,"Shoring and excavation for construction of a residential and retail building with below grade parking, per plan",MULTIFAMILY,NEW,1200000.0,2012-12-20,2015-05-05,2017-02-21,2018-05-05,Permit Closed,47.65646419,-122.3181508,"4041 ROOSEVELT WAY NE
(47.65646419, -122.31815084)"
21939,6358785,1350 N 34TH ST,"Construct solid waste transfer station (SPU), including mechanical and occupy per plan.",INSTITUTIONAL,NEW,16407444.0,2014-02-06,2014-06-17,2016-11-17,2017-06-17,Permit Closed,47.64880393,-122.340799,"1350 N 34TH ST
(47.64880393, -122.34079898)"
21943,6402967,1350 N 34TH ST,"Construct (1) admin building and occupy, per plan.",INSTITUTIONAL,NEW,1846815.0,2014-02-05,2014-06-17,2016-11-17,2017-06-17,Permit Closed,47.64880393,-122.340799,"1350 N 34TH ST
(47.64880393, -122.34079898)"
21945,6402966,1350 N 34TH ST,"Construct (1) recycle building and occupy, per plan.",INSTITUTIONAL,NEW,1425632.0,2014-02-05,2014-06-17,2016-11-17,2017-06-17,Permit Closed,47.64880393,-122.340799,"1350 N 34TH ST
(47.64880393, -122.34079898)"
21967,6374586,2101 7TH AVE,"Construction of an administrative office and retail spheres, and occupy per plans.",COMMERCIAL,NEW,13152775.0,2014-01-29,2014-07-23,2017-12-14,2019-01-23,Permit Closed,47.61586972,-122.3393811,"2101 7TH AVE
(47.61586972, -122.33938109)"
22024,6363672,5013 SW DAKOTA ST,"Establish use as public school and construct Genesee Hill Elementary School, occupy per plan.",INSTITUTIONAL,NEW,16080523.0,2013-12-11,2014-09-03,2017-01-27,2017-09-03,Permit Closed,47.56549837,-122.3969031,"5013 SW DAKOTA ST
(47.56549837, -122.39690312)"
22077,6298606,3642 WOODLAND PARK AVE N,"Construct boarding house and occupy, per plan",MULTIFAMILY,NEW,1937463.0,2012-12-26,2013-04-25,2014-11-19,2014-10-25,Permit Closed,47.65181878,-122.3437114,"3642 WOODLAND PARK AVE N
(47.65181878, -122.34371138)"
22114,6365079,801 S HOLGATE ST,"Phased project: Construction of northwest commercial building (801 S Holgate St) for auto dealerships and services with accessory parking and occupy, per plan (Construction of four commercial buildings for auto dealerships and services with accessory parking and occupy, per plan - see also 6365080 and 6365081 and 6361128).",COMMERCIAL,NEW,10226666.0,2013-07-02,2013-10-02,2015-06-11,2016-10-02,Permit Closed,47.58580679,-122.3231212,"801 S HOLGATE ST
(47.58580679, -122.32312124)"
22160,6414126,13018 20TH AVE NE,Construct Olympic Hills Elementary School and occupy per plan.,INSTITUTIONAL,NEW,14348045.0,2015-06-17,2015-10-07,2017-07-11,2018-10-07,Permit Closed,47.72369199,-122.3067701,"13018 20TH AVE NE
(47.72369199, -122.30677006)"
22249,6494029,711 FEDERAL AVE E,"Construct a townhouse structure with attached parking, per plan.",MULTIFAMILY,NEW,1477470.0,2016-06-29,2016-09-19,2017-10-18,2018-03-19,Permit Closed,47.62573494,-122.31960890000002,"711 FEDERAL AVE E
(47.62573494, -122.31960886)"
22315,6442754,1652 SW LANDER ST,"Construct two on-site pre-fab equipment buildings and install two 30,000 gallon above ground tanks, per plans.",INDUSTRIAL,NEW,1917833.0,2014-11-12,2015-02-28,2016-01-26,2016-08-28,Permit Closed,47.58195201,-122.35771100000001,"1652 SW LANDER ST
(47.58195201, -122.35771101)"
22360,6332258,9550 1ST AVE NE,"Establish use as and construct a lodging use building with parking garage, per plan.",COMMERCIAL,NEW,19941156.0,2014-11-19,2015-06-06,2017-03-03,2018-06-06,Permit Closed,47.69908317,-122.32810090000001,"9550 1ST AVE NE
(47.69908317, -122.32810091)"
22394,6430723,5216 BROOKLYN AVE NE,"Establish use as and construct a multi-family apartment building, occupy per plans.",MULTIFAMILY,NEW,2316819.0,2015-01-24,2015-08-19,2017-05-12,2018-08-19,Cert of Occupancy Authorized,47.66697624,-122.31391880000001,"5216 BROOKLYN AVE NE
(47.66697624, -122.3139188)"
