,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
45397,6345269,MULTIFAMILY,2107000.0,2013-08-22,2014-09-12,Permit Closed,47.62221174,-122.3355992
45523,6175609,COMMERCIAL,21508436.0,2014-01-27,2016-03-09,Permit Closed,47.66148571,-122.3157046
45917,6336473,COMMERCIAL,4632336.0,2013-10-23,2015-04-21,Permit Closed,47.61371932,-122.3177533
46118,6120993,COMMERCIAL,3678377.0,2013-10-09,2015-03-20,Permit Closed,47.67747634,-122.3268962
46279,6375003,INSTITUTIONAL,1027212.0,2014-03-05,2015-04-21,Permit Closed,47.65828261,-122.3045429
46415,6389079,MULTIFAMILY,39463347.0,2015-01-07,2017-01-10,Permit Closed,47.62296587,-122.3434253
46583,6343896,MULTIFAMILY,2616267.0,2013-12-19,2015-01-22,Permit Closed,47.6877381,-122.3765045
47024,6357155,COMMERCIAL,5400000.0,2013-10-24,2015-06-09,Permit Closed,47.62498078,-122.3388452
47241,6374587,COMMERCIAL,12100000.0,2014-02-07,2016-09-30,Permit Closed,47.61586972,-122.3393811
47299,6327387,MULTIFAMILY,68696961.0,2013-05-30,2015-03-24,Permit Closed,47.60967965,-122.3297856
47697,6343550,COMMERCIAL,1200000.0,2014-01-21,2015-04-27,Permit Closed,47.61445083,-122.3227283
47836,6411902,COMMERCIAL,2500000.0,2014-07-24,2015-05-26,Permit Closed,47.66853804,-122.3537027
48093,6301684,COMMERCIAL,29129630.0,2013-09-05,2015-10-16,Permit Closed,47.62158027,-122.3556997
48552,6378522,MULTIFAMILY,10250311.0,2014-05-24,2015-11-19,Permit Closed,47.62366408,-122.322307
48971,6352324,COMMERCIAL,40573434.0,2014-09-17,2016-09-20,Permit Closed,47.62304677,-122.3407984
49008,6404208,MULTIFAMILY,3668396.0,2014-10-16,2016-04-15,Permit Closed,47.55937436,-122.2910721
49300,6345785,COMMERCIAL,5100000.0,2013-10-02,2015-05-13,Permit Closed,47.62251637,-122.3339166
49382,6359455,MULTIFAMILY,2020841.0,2014-08-23,2016-08-11,Permit Closed,47.67035987,-122.3831308
49438,6360806,MULTIFAMILY,7541149.0,2014-10-16,2016-04-15,Permit Closed,47.55988171,-122.2898098
49481,6294017,COMMERCIAL,1005000.0,2014-03-07,2015-06-19,Permit Closed,47.64866803,-122.3839158
49542,6349308,COMMERCIAL,15222000.0,2014-04-21,2016-02-24,Permit Closed,47.61544748,-122.3385324
50083,6339619,COMMERCIAL,6973850.0,2013-06-28,2015-04-30,Permit Closed,47.56797295,-122.2727644
50810,6367001,SINGLE FAMILY / DUPLEX,1098020.0,2013-09-04,2014-07-24,Permit Closed,47.63714765,-122.290461
50834,6383128,MULTIFAMILY,4626806.0,2015-03-12,2017-03-23,Permit Closed,47.67864785,-122.3239886
51576,6454720,COMMERCIAL,1300000.0,2015-07-16,2017-03-22,Permit Closed,47.65141461,-122.3431969
51608,6330884,COMMERCIAL,34318592.0,2013-05-03,2014-12-18,Permit Closed,47.70833372,-122.3220476
51614,6388507,COMMERCIAL,16846451.0,2014-08-01,2015-12-29,Permit Closed,47.66111774,-122.3410771
51882,6325991,MULTIFAMILY,5188056.0,2014-09-06,2016-02-25,Permit Closed,47.61251813,-122.3416764
51937,6440370,MULTIFAMILY,5012056.0,2015-07-31,2016-09-28,Permit Closed,47.6642102,-122.3177761
52048,6339323,MULTIFAMILY,24168730.0,2014-04-02,2015-06-26,Permit Closed,47.61428571,-122.3505719
52063,6310214,MULTIFAMILY,1038263.0,2013-04-26,2015-09-02,Permit Closed,47.62491053,-122.31703629999998
52106,6401357,COMMERCIAL,1034000.0,2014-07-24,2016-04-21,Permit Closed,47.61387582,-122.3252557
52116,6358055,MULTIFAMILY,1029394.0,2013-12-23,2014-07-23,Permit Closed,47.66419083,-122.3058052
52143,6458687,COMMERCIAL,11355604.0,2015-12-02,2017-03-08,Permit Closed,47.61894243,-122.3544838
52224,6360556,INDUSTRIAL,5865970.0,2013-09-16,2014-06-12,Permit Closed,47.54957629,-122.3165954
52277,6306118,INDUSTRIAL,9370382.0,2013-08-12,2015-04-03,Permit Closed,47.66341745,-122.3770695
52552,6300774,COMMERCIAL,12818877.0,2013-07-25,2015-07-21,Permit Closed,47.60246647,-122.3177232
53055,6376708,INSTITUTIONAL,1800000.0,2014-06-24,2015-07-16,Permit Closed,47.67630741,-122.3285125
53546,6324483,MULTIFAMILY,6666689.0,2015-09-18,2017-03-02,Permit Closed,47.61921428,-122.309164
53778,6353329,COMMERCIAL,67459821.0,2013-09-19,2015-06-01,Permit Finaled,47.61673411,-122.3326804
54039,6143649,COMMERCIAL,7011058.0,2014-05-14,2015-12-17,Permit Closed,47.61539704,-122.32709640000002
54207,6343508,MULTIFAMILY,2517789.0,2013-12-09,2015-04-24,Permit Closed,47.62397513,-122.3597358
54664,6361289,MULTIFAMILY,1628101.0,2014-06-04,2015-11-19,Permit Closed,47.66661712,-122.3768379
54847,6440054,MULTIFAMILY,1379885.0,2015-07-18,2016-09-12,Permit Finaled,47.69077477,-122.3973139
55091,6282663,MULTIFAMILY,2268116.0,2013-08-02,2015-09-21,Permit Closed,47.58655291,-122.3169822
55299,6411858,MULTIFAMILY,2424996.0,2015-04-02,2016-09-14,Permit Closed,47.61820544,-122.3270673
55418,6287803,COMMERCIAL,8541334.0,2013-08-05,2015-02-13,Permit Closed,47.61357841,-122.3325012
55672,6343551,COMMERCIAL,13465865.0,2014-03-18,2016-01-29,Permit Closed,47.61445083,-122.3227283
55797,6339555,MULTIFAMILY,1508254.0,2014-05-22,2015-10-06,Permit Closed,47.61022379999999,-122.3158481
55826,6354888,COMMERCIAL,58032408.0,2014-01-09,2015-10-29,Permit Closed,47.62498078,-122.3388452
55951,6391814,MULTIFAMILY,4030800.0,2014-07-20,2015-12-21,Permit Closed,47.62441721,-122.3130164
55964,6470574,INDUSTRIAL,2685166.0,2016-01-25,2017-03-31,Permit Closed,47.65189105,-122.3783788
56567,6355397,MULTIFAMILY,1403870.0,2014-05-14,2016-11-14,Permit Closed,47.61136255,-122.3118465
56630,6386515,MULTIFAMILY,1780902.0,2014-11-14,2016-09-29,Cert of Occupancy Authorized,47.66929187,-122.3923671
57058,6461699,COMMERCIAL,2400000.0,2015-08-24,2016-12-16,Permit Closed,47.59600159,-122.3162261
57112,6402731,MULTIFAMILY,1250000.0,2015-06-03,2016-09-20,Permit Closed,47.62653955,-122.3616591
57338,6321320,MULTIFAMILY,17786513.0,2013-12-21,2015-07-29,Permit Closed,47.62383597,-122.3314398
57511,6404485,MULTIFAMILY,1895344.0,2014-10-10,2016-12-12,Permit Closed,47.56435223,-122.3753962
57715,6306072,COMMERCIAL,32794976.0,2013-11-13,2015-09-29,Permit Closed,47.55926496,-122.28655390000002
58872,6322502,COMMERCIAL,2465714.0,2013-05-03,2014-06-16,Permit Closed,47.6140908,-122.3442985
